date,precipitation
2015-02-06,1.0
2015-02-07,5.3
2015-02-08,0.1
2015-02-09,0.022209026128266036
2015-02-10,0.0
2015-02-11,0.0
2015-02-12,0.0
2015-02-13,0.0
2015-02-14,0.0
2015-02-15,0.0
2015-02-16,0.0
2015-02-17,0.0
2015-02-18,0.0
2015-02-19,0.0
2015-02-20,0.0
2015-02-21,0.0
2015-02-22,0.0
2015-02-23,0.0
2015-02-24,0.0
2015-02-25,0.0
2015-02-26,0.0
2015-02-27,3.5
2015-02-28,7.0
2015-03-01,4.857142857142858
2015-03-02,2.0
2015-03-03,0.6428571428571429
2015-03-04,0.0
2015-03-05,0.0
2015-03-06,0.0
2015-03-07,0.0
2015-03-08,0.0
2015-03-09,8.751353790613718
2015-03-10,20.5
2015-03-11,25.0
2015-03-12,18.518518518518515
2015-03-13,6.481481481481481
2015-03-14,0.0
2015-03-15,0.0
2015-03-16,0.0
2015-03-17,0.0
2015-03-18,0.0
2015-03-19,0.0
2015-03-20,0.0
2015-03-21,0.0
2015-03-22,0.0
2015-03-23,0.0
2015-03-24,0.0
2015-03-25,0.0
2015-03-26,0.0
2015-03-27,0.0
2015-03-28,0.0
2015-03-29,0.0
2015-03-30,0.0
2015-03-31,1.0
2015-04-01,0.0
2015-04-02,0.9074074074074074
2015-04-03,2.592592592592593
2015-04-04,3.5
2015-04-05,0.0
2015-04-06,21.4
2015-04-07,1.0
2015-04-08,1.0
2015-04-09,1.0
2015-04-10,28.8
2015-04-11,23.446152204077276
2015-04-12,12.803415519265666
2015-04-13,5.0
2015-04-14,1.5814121037463977
2015-04-15,0.0
2015-04-16,0.0
2015-04-17,0.0
2015-04-18,0.0
2015-04-19,0.0
2015-04-20,0.19375
2015-04-21,0.5
2015-04-22,0.7515624999999999
2015-04-23,1.0125000000000002
2015-04-24,1.2171874999999999
2015-04-25,1.3
2015-04-26,0.6499999999999999
2015-04-27,0.0
2015-04-28,0.0
2015-04-29,0.0
2015-04-30,0.75
2015-05-01,1.5
2015-05-02,1.0
2015-05-03,2.5
2015-05-04,1.967741935483871
2015-05-05,1.0
2015-05-06,0.0
2015-05-07,0.0
2015-05-08,0.0
2015-05-09,0.0
2015-05-10,0.0
2015-05-11,2.2
2015-05-12,1.6296296296296298
2015-05-13,0.5703703703703704
2015-05-14,0.0
2015-05-15,0.0
2015-05-16,4.0
2015-05-17,8.0
2015-05-18,6.18875
2015-05-19,3.4
2015-05-20,1.21125
2015-05-21,0.0
2015-05-22,0.8152549697493519
2015-05-23,3.5
2015-05-24,44.7
2015-05-25,0.0
2015-05-26,7.5
2015-05-27,10.9
2015-05-28,5.449999999999999
2015-05-29,0.0
2015-05-30,2.0
2015-05-31,0.0
2015-06-01,0.0
2015-06-02,0.0
2015-06-03,0.0
2015-06-04,0.0
2015-06-05,0.0
2015-06-06,0.0
2015-06-07,3.0
2015-06-08,0.0
2015-06-09,17.5
2015-06-10,12.962962962962964
2015-06-11,4.537037037037038
2015-06-12,0.0
2015-06-13,1.5
2015-06-14,22.5
2015-06-15,8.0
2015-06-16,1.0
2015-06-17,4.5
2015-06-18,0.0
2015-06-19,0.0
2015-06-20,0.0
2015-06-21,0.0
2015-06-22,0.0
2015-06-23,0.0
2015-06-24,0.0
2015-06-25,4.459259259259259
2015-06-26,12.74074074074074
2015-06-27,17.2
2015-06-28,12.740740740740739
2015-06-29,4.459259259259259
2015-06-30,0.0
2015-07-01,0.6555
2015-07-02,1.9
2015-07-03,3.7444999999999995
2015-07-04,5.0
2015-07-05,4.9
2015-07-06,0.0
2015-07-07,0.0
2015-07-08,0.0
2015-07-09,37.0
2015-07-10,1.0
2015-07-11,28.8
2015-07-12,14.399999999999999
2015-07-13,0.0
2015-07-14,0.0
2015-07-15,1.5
2015-07-16,0.75
2015-07-17,0.0
2015-07-18,0.0
2015-07-19,0.0
2015-07-20,0.0
2015-07-21,0.0
2015-07-22,0.0
2015-07-23,0.0
2015-07-24,0.0
2015-07-25,7.158139534883722
2015-07-26,15.2
2015-07-27,16.641860465116277
2015-07-28,17.2
2015-07-29,8.600000000000001
2015-07-30,0.0
2015-07-31,29.0
2015-08-01,58.0
2015-08-02,7.3
2015-08-03,34.0
2015-08-04,2.5
2015-08-05,35.5
2015-08-06,14.0
2015-08-07,19.5
2015-08-08,15.5
2015-08-09,10.0
2015-08-10,3.8
2015-08-11,1.0
2015-08-12,0.43597883597883597
2015-08-13,0.10687830687830696
2015-08-14,0.0
2015-08-15,0.0
2015-08-16,0.0
2015-08-17,0.0
2015-08-18,0.0
2015-08-19,13.5
2015-08-20,0.0
2015-08-21,0.0
2015-08-22,0.0
2015-08-23,0.0
2015-08-24,1.8000000000000003
2015-08-25,3.6
2015-08-26,1.0
2015-08-27,0.5
2015-08-28,0.16346153846153846
2015-08-29,0.0
2015-08-30,3.862962962962963
2015-08-31,11.037037037037036
2015-09-01,14.9
2015-09-02,0.0
2015-09-03,6.900000000000001
2015-09-04,13.8
2015-09-05,6.8999999999999995
2015-09-06,0.0
2015-09-07,12.849999999999998
2015-09-08,25.7
2015-09-09,7.0
2015-09-10,1.9045232936078005
2015-09-11,0.0
2015-09-12,0.0
2015-09-13,0.0
2015-09-14,0.0
2015-09-15,0.0
2015-09-16,8.7
2015-09-17,0.0
2015-09-18,2.8
2015-09-19,0.0
2015-09-20,0.0
2015-09-21,0.0
2015-09-22,28.6
2015-09-23,26.481481481481485
2015-09-24,21.185185185185187
2015-09-25,14.3
2015-09-26,7.4148148148148145
2015-09-27,2.1185185185185134
2015-09-28,0.0
2015-09-29,0.0
2015-09-30,0.0
2015-10-01,0.4165846016114592
2015-10-02,1.4
2015-10-03,5.178309646374217
2015-10-04,12.016830796777082
2015-10-05,18.571936548791406
2015-10-06,21.5
2015-10-07,10.75
2015-10-08,0.0
2015-10-09,4.5
2015-10-10,6.912383177570094
2015-10-11,8.0
2015-10-12,1.6
2015-10-13,0.0
2015-10-14,0.0
2015-10-15,0.0
2015-10-16,0.0
2015-10-17,0.2
2015-10-18,0.0
2015-10-19,0.0
2015-10-20,0.0
2015-10-21,0.0
2015-10-22,0.0
2015-10-23,0.0
2015-10-24,0.0
2015-10-25,7.799999999999999
2015-10-26,15.6
2015-10-27,7.6
2015-10-28,9.0
2015-10-29,33.0
2015-10-30,36.5
2015-10-31,23.072776769509986
2015-11-01,7.6
2015-11-02,5.0
2015-11-03,2.3
2015-11-04,14.8
2015-11-05,4.0
2015-11-06,0.0
2015-11-07,55.1
2015-11-08,1.0
2015-11-09,19.0
2015-11-10,0.0
2015-11-11,0.0
2015-11-12,0.0
2015-11-13,0.0
2015-11-14,0.0
2015-11-15,20.5
2015-11-16,18.6
2015-11-17,2.5
2015-11-18,3.925
2015-11-19,8.5
2015-11-20,61.0
2015-11-21,31.5
2015-11-22,2.0
2015-11-23,11.7
2015-11-24,14.6
2015-11-25,13.2
2015-11-26,40.0
2015-11-27,86.1
2015-11-28,2.0
2015-11-29,42.5
2015-11-30,19.0
2015-12-01,6.2
2015-12-02,15.9
2015-12-03,0.0
2015-12-04,0.0
2015-12-05,12.0
2015-12-06,10.6
2015-12-07,2.0
2015-12-08,0.0
2015-12-09,4.5
2015-12-10,17.0
2015-12-11,14.5
2015-12-12,1.0
2015-12-13,41.7
2015-12-14,31.708229813664598
2015-12-15,15.0
2015-12-16,1.5
2015-12-17,46.4
2015-12-18,44.26800850501393
