date,pr
28-08-2014,1.5
29-08-2014,62.7
30-08-2014,0
31-08-2014,22.3
01-09-2014,14.5
02-09-2014,0
03-09-2014,0
04-09-2014,23.5
05-09-2014,0
06-09-2014,43.4
07-09-2014,19
08-09-2014,
09-09-2014,0
10-09-2014,1.4
11-09-2014,18.5
12-09-2014,0.6
13-09-2014,0
14-09-2014,6.2
15-09-2014,55
16-09-2014,0
17-09-2014,0
18-09-2014,0
19-09-2014,0.8
20-09-2014,0
21-09-2014,1.3
22-09-2014,7
23-09-2014,0
24-09-2014,0
25-09-2014,0
26-09-2014,0
27-09-2014,0
28-09-2014,0
29-09-2014,3
30-09-2014,15.3
01-10-2014,3.8
02-10-2014,0
03-10-2014,3
04-10-2014,56.8
05-10-2014,6.3
06-10-2014,15
07-10-2014,
08-10-2014,0
09-10-2014,13.5
10-10-2014,2
11-10-2014,15.5
12-10-2014,26.2
13-10-2014,0
14-10-2014,
15-10-2014,0
16-10-2014,0
17-10-2014,0
18-10-2014,0
19-10-2014,5.5
20-10-2014,0
21-10-2014,1.8
22-10-2014,0
23-10-2014,0
24-10-2014,11
25-10-2014,32
26-10-2014,0
27-10-2014,0
28-10-2014,1.5
29-10-2014,52.5
30-10-2014,23.4
31-10-2014,28.5
01-11-2014,0
02-11-2014,4.5
03-11-2014,11.5
04-11-2014,0
05-11-2014,3.1
06-11-2014,0.5
07-11-2014,1
08-11-2014,42.5
09-11-2014,0.9
10-11-2014,17
11-11-2014,0
12-11-2014,1
13-11-2014,6.3
14-11-2014,0
15-11-2014,1
16-11-2014,4
17-11-2014,5.2
18-11-2014,3.2
19-11-2014,17
20-11-2014,10.5
21-11-2014,30.9
22-11-2014,11.9
23-11-2014,11
24-11-2014,1
25-11-2014,8.6
26-11-2014,15
27-11-2014,0
28-11-2014,0
29-11-2014,0.6
30-11-2014,
01-12-2014,4
02-12-2014,22.5
03-12-2014,19.5
04-12-2014,10.5
05-12-2014,
06-12-2014,0
07-12-2014,0.4
08-12-2014,3.7
09-12-2014,6.2
10-12-2014,4
11-12-2014,13.5
12-12-2014,2
13-12-2014,23.7
14-12-2014,
15-12-2014,11
16-12-2014,0
17-12-2014,9
18-12-2014,
19-12-2014,8
20-12-2014,141.5
21-12-2014,111.5
22-12-2014,44.3
23-12-2014,5.5
24-12-2014,80
25-12-2014,126.1
26-12-2014,11.5
27-12-2014,10.8
28-12-2014,
29-12-2014,0
30-12-2014,0.2
31-12-2014,1.4
01-01-2015,5
02-01-2015,
03-01-2015,10
04-01-2015,52.2
05-01-2015,
06-01-2015,61.6
07-01-2015,10.3
08-01-2015,7
09-01-2015,22
10-01-2015,
11-01-2015,3
12-01-2015,0.8
13-01-2015,
14-01-2015,
15-01-2015,2
16-01-2015,4.7
17-01-2015,7.2
18-01-2015,1
19-01-2015,
20-01-2015,
21-01-2015,0
22-01-2015,0
23-01-2015,0
24-01-2015,
25-01-2015,0
26-01-2015,
27-01-2015,0
28-01-2015,
29-01-2015,4.5
30-01-2015,
31-01-2015,1
01-02-2015,
02-02-2015,2
03-02-2015,8
04-02-2015,13.7
05-02-2015,
06-02-2015,1
07-02-2015,5.3
08-02-2015,0.1
09-02-2015,
10-02-2015,0
11-02-2015,0
12-02-2015,0
13-02-2015,
14-02-2015,0
15-02-2015,0
16-02-2015,
17-02-2015,0
18-02-2015,
19-02-2015,0
20-02-2015,0
21-02-2015,
22-02-2015,0
23-02-2015,
24-02-2015,
25-02-2015,
26-02-2015,0
27-02-2015,
28-02-2015,7
01-03-2015,
02-03-2015,2
03-03-2015,
04-03-2015,0
05-03-2015,
06-03-2015,0
07-03-2015,0
08-03-2015,0
09-03-2015,
10-03-2015,20.5
11-03-2015,25
12-03-2015,
13-03-2015,
14-03-2015,0
15-03-2015,0
16-03-2015,
17-03-2015,
18-03-2015,0
19-03-2015,0
20-03-2015,0
21-03-2015,
22-03-2015,0
23-03-2015,0
24-03-2015,0
25-03-2015,
26-03-2015,0
27-03-2015,
28-03-2015,0
29-03-2015,
30-03-2015,0
31-03-2015,1
01-04-2015,0
02-04-2015,
03-04-2015,
04-04-2015,3.5
05-04-2015,0
06-04-2015,21.4
07-04-2015,1
08-04-2015,
09-04-2015,1
10-04-2015,28.8
11-04-2015,
12-04-2015,
13-04-2015,5
14-04-2015,
15-04-2015,0
16-04-2015,
17-04-2015,
18-04-2015,
19-04-2015,0
20-04-2015,
21-04-2015,0.5
22-04-2015,
23-04-2015,
24-04-2015,
25-04-2015,1.3
26-04-2015,
27-04-2015,0
28-04-2015,
29-04-2015,0
30-04-2015,
01-05-2015,1.5
02-05-2015,1
03-05-2015,2.5
04-05-2015,
05-05-2015,1
06-05-2015,0
07-05-2015,0
08-05-2015,
09-05-2015,0
10-05-2015,0
11-05-2015,2.2
12-05-2015,
13-05-2015,
14-05-2015,0
15-05-2015,0
16-05-2015,
17-05-2015,8
18-05-2015,
19-05-2015,3.4
20-05-2015,
21-05-2015,0
22-05-2015,
23-05-2015,3.5
24-05-2015,44.7
25-05-2015,0
26-05-2015,7.5
27-05-2015,10.9
28-05-2015,
29-05-2015,0
30-05-2015,2
31-05-2015,0
01-06-2015,
02-06-2015,
03-06-2015,
04-06-2015,0
05-06-2015,
06-06-2015,0
07-06-2015,3
08-06-2015,0
09-06-2015,17.5
10-06-2015,
11-06-2015,
12-06-2015,0
13-06-2015,1.5
14-06-2015,22.5
15-06-2015,8
16-06-2015,1
17-06-2015,4.5
18-06-2015,0
19-06-2015,0
20-06-2015,0
21-06-2015,
22-06-2015,0
23-06-2015,0
24-06-2015,0
25-06-2015,
26-06-2015,
27-06-2015,17.2
28-06-2015,
29-06-2015,
30-06-2015,0
01-07-2015,
02-07-2015,1.9
03-07-2015,
04-07-2015,5
05-07-2015,4.9
06-07-2015,0
07-07-2015,
08-07-2015,0
09-07-2015,37
10-07-2015,1
11-07-2015,28.8
12-07-2015,
13-07-2015,0
14-07-2015,0
15-07-2015,1.5
16-07-2015,
17-07-2015,0
18-07-2015,
19-07-2015,0
20-07-2015,0
21-07-2015,0
22-07-2015,0
23-07-2015,
24-07-2015,0
25-07-2015,
26-07-2015,15.2
27-07-2015,
28-07-2015,17.2
29-07-2015,
30-07-2015,0
31-07-2015,
01-08-2015,58
02-08-2015,7.3
03-08-2015,34
04-08-2015,2.5
05-08-2015,35.5
06-08-2015,14
07-08-2015,19.5
08-08-2015,15.5
09-08-2015,10
10-08-2015,3.8
11-08-2015,1
12-08-2015,
13-08-2015,
14-08-2015,0
